ID,NAME,MKT,INDUSTRY_NAME_1,INDUSTRY_NAME_2
2891,中信金,TSE,金融控股,金融控股
2890,永豐金,TSE,金融控股,金融控股
2889,國票金,TSE,金融控股,金融控股
2888,新光金,TSE,金融控股,金融控股
2887,台新金,TSE,金融控股,金融控股
2886,兆豐金,TSE,金融控股,金融控股
2885,元大金,TSE,金融控股,金融控股
2884,玉山金,TSE,金融控股,金融控股
2883,開發金,TSE,金融控股,金融控股
2882,國泰金,TSE,金融控股,金融控股
2881,富邦金,TSE,金融控股,金融控股
2880,華南金,TSE,金融控股,金融控股
2867,三商壽,TSE,壽險業,壽險業
2855,統一證,TSE,證券,證券
2852,第一保,TSE,產險業,產險業
2851,中再保,TSE,產險業,產險業
2850,新產,TSE,產險業,產險業
2849,安泰銀,TSE,本國銀行,本國銀行
2845,遠東銀,TSE,本國銀行,本國銀行
2841,台開,TSE,營造,營造
2838,聯邦銀,TSE,本國銀行,本國銀行
2836,高雄銀,TSE,本國銀行,本國銀行
2834,臺企銀,TSE,本國銀行,本國銀行
2832,台產,TSE,產險業,產險業
2823,中壽,TSE,壽險業,壽險業
2820,華票,TSE,票券公司,票券公司
2816,旺旺保,TSE,產險業,產險業
2812,台中銀,TSE,本國銀行,本國銀行
2809,京城銀,TSE,本國銀行,本國銀行
2801,彰銀,TSE,本國銀行,本國銀行
2748,雲品,TSE,餐飲飯店,飯店業
2745,五福,OTC,旅行社,旅行社
2740,天蔥,OTC,餐飲飯店,餐飲業
2739,寒舍,TSE,餐飲飯店,飯店業
2736,高野,OTC,餐飲飯店,飯店業
2734,易飛網,OTC,旅行社,旅行社
2732,六角,OTC,餐飲飯店,餐飲業
2731,雄獅,TSE,旅行社,旅行社
2729,瓦城,OTC,餐飲飯店,餐飲業
2727,王品,TSE,餐飲飯店,餐飲業
2726,雅茗-KY,OTC,餐飲飯店,餐飲業
2724,富驛-KY,OTC,餐飲飯店,飯店業
2723,美食-KY,TSE,餐飲飯店,餐飲業
2722,夏都,TSE,餐飲飯店,飯店業
2719,燦星旅,OTC,旅行社,旅行社
2718,晶悅,OTC,餐飲飯店,飯店業
2712,遠雄來,TSE,餐飲飯店,飯店業
2707,晶華,TSE,餐飲飯店,飯店業
2706,第一店,TSE,餐飲飯店,飯店業
2705,六福,TSE,餐飲飯店,飯店業
2704,國賓,TSE,餐飲飯店,飯店業
2702,華園,TSE,餐飲飯店,飯店業
2701,萬企,TSE,餐飲飯店,飯店業
2643,捷迅,OTC,貨運倉儲業,貨運倉儲業
2642,宅配通,TSE,貨運倉儲業,貨運倉儲業
2641,正德,OTC,海運,散裝輪
2640,大車隊,OTC,陸運業,汽車陸運
2637,慧洋-KY,TSE,海運,散裝輪
2636,台驊投控,TSE,貨運倉儲業,貨運倉儲業
2634,漢翔,TSE,機車船製造,航空器製造
2633,台灣高鐵,TSE,陸運業,鐵路運輸
2630,亞航,TSE,機車船製造,航空器製造
2618,長榮航,TSE,空運業,空運業
2617,台航,TSE,海運,散裝輪
2616,山隆,TSE,公用事業,加油站
2615,萬海,TSE,海運,貨櫃輪
2614,東森,TSE,海運,散裝輪
2613,中櫃,TSE,貨運倉儲業,貨運倉儲業
2612,中航,TSE,海運,散裝輪
2611,志信,TSE,貨運倉儲業,貨運倉儲業
2610,華航,TSE,空運業,空運業
2609,陽明,TSE,海運,貨櫃輪
2608,嘉里大榮,TSE,貨運倉儲業,貨運倉儲業
2607,榮運,TSE,貨運倉儲業,貨運倉儲業
2606,裕民,TSE,海運,散裝輪
2605,新興,TSE,海運,散裝輪
2603,長榮,TSE,海運,貨櫃輪
2601,益航,TSE,海運,散裝輪
2597,潤弘,TSE,營造,營造
2596,綠意,OTC,建設,建設
2548,華固,TSE,建設,建設
2547,日勝生,TSE,建設,建設
